Date,Cloud_Demand_Index,GDP_Growth,Inflation,Competitor_Price_Index
2020-01-01,67,3.727301838650201,4.200878600524534,120
2020-01-02,77,4.657382372114083,3.6821822305513994,129
2020-01-03,89,2.910710224528352,5.363531613888448,93
2020-01-04,93,2.6926987037504917,3.7983149076244174,115
2020-01-05,88,4.488592563558635,7.5169760885293915,98
2020-01-06,84,5.022146010034563,3.0655951605785035,114
2020-01-07,96,3.852970938517362,4.290569935528852,124
2020-01-08,101,2.44401672312273,4.970925480972137,104
2020-01-09,82,5.648551957397496,5.276924836157606,107
2020-01-10,115,5.248756131504405,6.6494943110654745,121
2020-01-11,91,2.5058990616807644,4.226594477372281,112
2020-01-12,99,4.679034661891844,7.1548565921893035,104
2020-01-13,94,4.68320441811313,6.21554128115248,114
2020-01-14,114,4.256705217226241,4.299618816509553,128
2020-01-15,80,4.3038252871718985,3.9601519949963206,125
2020-01-16,100,3.116915411832001,3.495263565629858,96
2020-01-17,119,5.010331897574875,5.877719477363313,110
2020-01-18,96,5.8302834725682615,3.0390433879607146,98
2020-01-19,64,5.926440451317313,4.057658927656029,123
2020-01-20,113,4.157339982868232,5.164295283697261,94
2020-01-21,106,5.48371752301332,3.9748350532217316,107
2020-01-22,92,3.5758841562303005,7.142530359517941,90
2020-01-23,115,3.0402903682840603,6.3346275414173245,103
2020-01-24,104,2.1498176315241886,6.183969252402843,96
2020-01-25,64,2.1511604273234406,4.16854959779752,110
2020-01-26,89,3.7288900022824008,4.6000947894377395,124
2020-01-27,68,2.9085503677700975,5.436541253767989,111
2020-01-28,60,3.5709215887315318,4.537177822670442,105
2020-01-29,60,5.0702022560915925,5.465202299612409,127
2020-01-30,61,5.000165126943967,7.328053025933332,98
2020-01-31,88,4.166773820686037,6.7127089351112135,117
2020-02-01,107,2.019123439441835,6.790654206835238,110
2020-02-02,94,5.944167710150621,4.352478945392258,124
2020-02-03,70,3.64573552532053,4.948566012995333,106
2020-02-04,71,4.9454966016751,4.748012438054737,100
2020-02-05,115,5.301703271265591,7.444471622695223,115
2020-02-06,113,3.047026892600485,3.2456880349747004,126
2020-02-07,118,3.3589838566233956,3.5627527129690497,113
2020-02-08,87,2.00675393722771,3.0299508954391605,97
2020-02-09,111,3.859675361189039,5.353735318178087,129
2020-02-10,73,2.2035604657016576,7.911764036647351,92
2020-02-11,68,5.022321070994492,3.746144088654757,93
2020-02-12,100,3.328039150456292,4.786877681922931,95
2020-02-13,112,2.4819264247320922,4.461561440943865,98
2020-02-14,87,2.8857780940878763,7.776214145996398,103
2020-02-15,64,3.4085947711872473,6.373959907520144,121
2020-02-16,91,4.396264148269452,6.305427188395398,105
2020-02-17,64,5.411097529906495,6.586297463565471,123
2020-02-18,60,2.5792522581025215,4.983954895571118,111
2020-02-19,102,3.7333313221847,7.403200373073447,92
2020-02-20,86,2.787423525468897,3.440445920638046,117
2020-02-21,66,4.250786647555507,6.928663824752168,104
2020-02-22,82,5.449186032307219,3.8458656818297037,116
2020-02-23,98,5.940346490346682,5.035575959176326,114
2020-02-24,90,4.4774672827836355,7.670859627755572,100
2020-02-25,117,3.9099609148689094,6.670299772909784,103
2020-02-26,103,2.66151246305474,5.07261364882863,113
2020-02-27,93,5.5371353432526105,4.856075031564647,106
2020-02-28,81,3.509376985728556,3.5738218269244006,126
2020-02-29,102,3.6327356227009333,3.7273545194825894,100
2020-03-01,109,3.9336794831530875,3.402780041196251,129
2020-03-02,106,5.3412761324892735,7.888748479057005,109
2020-03-03,69,5.813809471865866,7.631725560652432,110
2020-03-04,90,5.516791749663468,3.5167013208356193,106
